x,y
22.26880,25.31810
68.95680,4.10790
31.85910,83.33510
1.10760,78.55930
40.01890,26.79000
49.49380,62.10420
4.05140,70.82710
0.09440,59.62230
32.99660,74.27420
52.17310,23.56950
48.41370,49.21650
30.14460,37.01310
68.97930,43.50030
51.03040,72.37720
53.20970,75.12950
74.21600,75.47850
0.44760,43.17290
31.22160,32.30670
78.14320,32.32930
62.50120,18.16220
10.75450,11.99500
31.90160,14.80590
34.45740,31.99600
26.06340,19.08920
6.27020,29.87180
94.29400,6.31920
30.72350,24.43860
43.33230,99.70280
19.57410,94.36270
23.71520,72.78390
21.12740,97.93130
99.89760,21.57510
92.73940,82.75450
5.51700,70.88260
66.71900,68.01830
40.68000,77.47350
31.64850,72.58160
43.91460,17.74110
4.57760,21.61330
36.83040,62.48310
3.12030,31.12440
68.80230,33.84380
7.19820,12.13460
85.18190,26.77230
58.13260,8.89710
51.19140,79.26000
58.46360,2.72430
52.47030,2.83820
85.47880,57.98740
25.35610,52.19780
77.64090,66.03610
81.30650,60.92460
38.61780,25.22110
78.66580,94.83060
98.46960,67.13140
57.31370,1.58990
49.89100,77.75120
35.43380,57.08920
41.52110,20.61570
83.86150,99.65370
29.51280,86.68820
30.54890,87.97650
89.41250,83.01930
90.81470,74.89130
